Date,Nautical,Civil,Rise,Noon,Set,Civil Nautical,Day,Sky Total,hh:mm:ss
Jan  1,6:50,7:30,8:08,12:16,16:25,17:02  17:43,8.28,1.24  9.53,6:30:16
Jan  2,6:50,7:30,8:08,12:17,16:26,17:03  17:44,8.3,1.24  9.54,6:34:13
Jan  3,6:50,7:30,8:07,12:17,16:27,17:04  17:44,8.32,1.24  9.56,6:38:10
Jan  4,6:50,7:30,8:07,12:17,16:28,17:05  17:45,8.34,1.24  9.58,6:42:06
Jan  5,6:50,7:30,8:07,12:18,16:29,17:06  17:46,8.36,1.24  9.60,6:46:03
Jan  6,6:50,7:30,8:07,12:18,16:30,17:07  17:47,8.39,1.23  9.62,6:49:59
Jan  7,6:49,7:30,8:07,12:19,16:31,17:08  17:49,8.41,1.23  9.64,6:53:56
Jan  8,6:49,7:29,8:06,12:19,16:33,17:09  17:50,8.44,1.23  9.67,6:57:52
Jan  9,6:49,7:29,8:06,12:20,16:34,17:11  17:51,8.47,1.22  9.69,7:01:49
Jan 10,6:49,7:29,8:05,12:20,16:35,17:12  17:52,8.5,1.22  9.72,7:05:45
Jan 11,6:48,7:28,8:05,12:20,16:36,17:13  17:53,8.53,1.22  9.75,7:09:42
Jan 12,6:48,7:28,8:04,12:21,16:38,17:14  17:54,8.56,1.21  9.78,7:13:39
Jan 13,6:47,7:27,8:04,12:21,16:39,17:16  17:55,8.6,1.21  9.81,7:17:35
Jan 14,6:47,7:27,8:03,12:22,16:41,17:17  17:57,8.63,1.21  9.84,7:21:32
Jan 15,6:46,7:26,8:02,12:22,16:42,17:18  17:58,8.67,1.20  9.87,7:25:28
Jan 16,6:46,7:25,8:01,12:22,16:44,17:20  17:59,8.7,1.20  9.90,7:29:25
Jan 17,6:45,7:25,8:01,12:23,16:45,17:21  18:00,8.74,1.20  9.94,7:33:21
Jan 18,6:45,7:24,8:00,12:23,16:46,17:22  18:02,8.78,1.19  9.97,7:37:18
Jan 19,6:44,7:23,7:59,12:23,16:48,17:24  18:03,8.82,1.19 10.01,7:41:14
Jan 20,6:43,7:22,7:58,12:24,16:50,17:25  18:04,8.86,1.19 10.05,7:45:11
Jan 21,6:42,7:22,7:57,12:24,16:51,17:27  18:06,8.9,1.18 10.08,7:49:08
Jan 22,6:42,7:21,7:56,12:24,16:53,17:28  18:07,8.95,1.18 10.12,7:53:04
Jan 23,6:41,7:20,7:55,12:24,16:54,17:29  18:08,8.99,1.17 10.16,7:57:01
Jan 24,6:40,7:19,7:54,12:25,16:56,17:31  18:10,9.03,1.17 10.20,8:00:57
Jan 25,6:39,7:18,7:53,12:25,16:57,17:32  18:11,9.08,1.17 10.25,8:04:54
Jan 26,6:38,7:17,7:52,12:25,16:59,17:34  18:13,9.13,1.16 10.29,8:08:50
Jan 27,6:37,7:16,7:50,12:25,17:01,17:35  18:14,9.17,1.16 10.33,8:12:47
Jan 28,6:36,7:14,7:49,12:25,17:02,17:37  18:16,9.22,1.16 10.38,8:16:43
Jan 29,6:35,7:13,7:48,12:26,17:04,17:39  18:17,9.27,1.15 10.42,8:20:40
Jan 30,6:34,7:12,7:46,12:26,17:06,17:40  18:18,9.32,1.15 10.47,8:24:37
Jan 31,6:33,7:11,7:45,12:26,17:07,17:42  18:20,9.37,1.14 10.51,8:28:33
Feb  1,6:31,7:10,7:44,12:26,17:09,17:43  18:21,9.42,1.14 10.56,8:32:30
Feb  2,6:30,7:08,7:42,12:26,17:11,17:45  18:23,9.47,1.14 10.61,8:36:26
Feb  3,6:29,7:07,7:41,12:26,17:12,17:46  18:24,9.52,1.13 10.66,8:40:23
Feb  4,6:28,7:06,7:39,12:26,17:14,17:48  18:26,9.58,1.13 10.71,8:44:19
Feb  5,6:26,7:04,7:38,12:26,17:16,17:49  18:27,9.63,1.13 10.75,8:48:16
Feb  6,6:25,7:03,7:36,12:27,17:17,17:51  18:29,9.68,1.12 10.80,8:52:12
Feb  7,6:24,7:01,7:35,12:27,17:19,17:53  18:30,9.74,1.12 10.86,8:56:09
Feb  8,6:22,7:00,7:33,12:27,17:21,17:54  18:32,9.79,1.12 10.91,9:00:06
Feb  9,6:21,6:58,7:32,12:27,17:22,17:56  18:33,9.85,1.11 10.96,9:04:02
Feb 10,6:19,6:57,7:30,12:27,17:24,17:57  18:35,9.9,1.11 11.01,9:07:59
Feb 11,6:18,6:55,7:28,12:27,17:26,17:59  18:36,9.96,1.11 11.06,9:11:55
Feb 12,6:16,6:54,7:27,12:27,17:27,18:01  18:38,10.01,1.10 11.12,9:15:52
Feb 13,6:15,6:52,7:25,12:27,17:29,18:02  18:39,10.07,1.10 11.17,9:19:48
Feb 14,6:13,6:50,7:23,12:27,17:31,18:04  18:41,10.13,1.10 11.22,9:23:45
Feb 15,6:11,6:49,7:21,12:27,17:32,18:05  18:43,10.18,1.09 11.28,9:27:41
Feb 16,6:10,6:47,7:20,12:27,17:34,18:07  18:44,10.24,1.09 11.33,9:31:38
Feb 17,6:08,6:45,7:18,12:26,17:36,18:08  18:46,10.3,1.09 11.39,9:35:35
Feb 18,6:06,6:43,7:16,12:26,17:37,18:10  18:47,10.36,1.09 11.44,9:39:31
Feb 19,6:05,6:42,7:14,12:26,17:39,18:12  18:49,10.42,1.08 11.50,9:43:28
Feb 20,6:03,6:40,7:12,12:26,17:41,18:13  18:50,10.47,1.08 11.55,9:47:24
Feb 21,6:01,6:38,7:10,12:26,17:42,18:15  18:52,10.53,1.08 11.61,9:51:21
Feb 22,5:59,6:36,7:09,12:26,17:44,18:16  18:53,10.59,1.08 11.67,9:55:17
Feb 23,5:58,6:34,7:07,12:26,17:46,18:18  18:55,10.65,1.07 11.73,9:59:14
Feb 24,5:56,6:33,7:05,12:26,17:47,18:20  18:56,10.71,1.07 11.78,10:03:10
Feb 25,5:54,6:31,7:03,12:25,17:49,18:21  18:58,10.77,1.07 11.84,10:07:07
Feb 26,5:52,6:29,7:01,12:25,17:51,18:23  19:00,10.83,1.07 11.90,10:11:04
Feb 27,5:50,6:27,6:59,12:25,17:52,18:24  19:01,10.89,1.07 11.96,10:15:00
Feb 28,5:48,6:25,6:57,12:25,17:54,18:26  19:03,10.95,1.07 12.02,10:18:57
Mar  1,5:46,6:23,6:55,12:25,17:55,18:27  19:04,11.01,1.06 12.07,10:22:53
Mar  2,5:44,6:21,6:53,12:25,17:57,18:29  19:06,11.07,1.06 12.13,10:26:50
Mar  3,5:42,6:19,6:51,12:24,17:59,18:31  19:07,11.13,1.06 12.19,10:30:46
Mar  4,5:40,6:17,6:49,12:24,18:00,18:32  19:09,11.19,1.06 12.25,10:34:43
Mar  5,5:38,6:15,6:47,12:24,18:02,18:34  19:11,11.25,1.06 12.31,10:38:39
Mar  6,5:36,6:13,6:45,12:24,18:04,18:35  19:12,11.31,1.06 12.37,10:42:36
Mar  7,5:34,6:11,6:43,12:23,18:05,18:37  19:14,11.37,1.06 12.43,10:46:33
Mar  8,5:32,6:09,6:41,12:23,18:07,18:38  19:15,11.43,1.06 12.49,10:50:29
Mar  9,5:30,6:07,6:39,12:23,18:08,18:40  19:17,11.5,1.06 12.55,10:54:26
Mar 10,5:28,6:05,6:36,12:23,18:10,18:42  19:18,11.56,1.06 12.61,10:58:22
Mar 11,5:26,6:03,6:34,12:22,18:11,18:43  19:20,11.62,1.06 12.67,11:02:19
Mar 12,5:24,6:01,6:32,12:22,18:13,18:45  19:22,11.68,1.05 12.73,11:06:15
Mar 13,5:22,5:59,6:30,12:22,18:15,18:46  19:23,11.74,1.05 12.79,11:10:12
Mar 14,5:19,5:56,6:28,12:22,18:16,18:48  19:25,11.8,1.05 12.86,11:14:08
Mar 15,5:17,5:54,6:26,12:21,18:18,18:49  19:27,11.86,1.05 12.92,11:18:05
Mar 16,5:15,5:52,6:24,12:21,18:19,18:51  19:28,11.92,1.06 12.98,11:22:02
Mar 17,5:13,5:50,6:22,12:21,18:21,18:52  19:30,11.98,1.06 13.04,11:25:58
Mar 18,5:11,5:48,6:20,12:21,18:22,18:54  19:31,12.05,1.06 13.10,11:29:55
Mar 19,5:09,5:46,6:17,12:20,18:24,18:56  19:33,12.11,1.06 13.16,11:33:51
Mar 20,5:06,5:44,6:15,12:20,18:25,18:57  19:35,12.17,1.06 13.22,11:37:48
Mar 21,5:04,5:42,6:13,12:20,18:27,18:59  19:36,12.23,1.06 13.29,11:41:44
Mar 22,5:02,5:39,6:11,12:19,18:29,19:00  19:38,12.29,1.06 13.35,11:45:41
Mar 23,5:00,5:37,6:09,12:19,18:30,19:02  19:40,12.35,1.06 13.41,11:49:37
Mar 24,4:57,5:35,6:07,12:19,18:32,19:03  19:41,12.41,1.06 13.47,11:53:34
Mar 25,4:55,5:33,6:05,12:18,18:33,19:05  19:43,12.47,1.06 13.54,11:57:31
Mar 26,4:53,5:31,6:03,12:18,18:35,19:07  19:45,12.53,1.06 13.60,12:01:27
Mar 27,4:51,5:29,6:00,12:18,18:36,19:08  19:46,12.6,1.07 13.66,12:05:24
Mar 28,4:48,5:26,5:58,12:18,18:38,19:10  19:48,12.66,1.07 13.72,12:09:20
Mar 29,4:46,5:24,5:56,12:17,18:39,19:11  19:50,12.72,1.07 13.79,12:13:17
Mar 30,4:44,5:22,5:54,12:17,18:41,19:13  19:51,12.78,1.07 13.85,12:17:13
Mar 31,4:41,5:20,5:52,12:17,18:42,19:15  19:53,12.84,1.07 13.91,12:21:10
Apr  1,4:39,5:18,5:50,12:16,18:44,19:16  19:55,12.9,1.08 13.97,12:25:06
Apr  2,4:37,5:15,5:48,12:16,18:45,19:18  19:57,12.96,1.08 14.04,12:29:03
Apr  3,4:34,5:13,5:46,12:16,18:47,19:19  19:58,13.02,1.08 14.10,12:33:00
Apr  4,4:32,5:11,5:44,12:15,18:48,19:21  20:00,13.08,1.08 14.16,12:36:56
Apr  5,4:30,5:09,5:41,12:15,18:50,19:22  20:02,13.14,1.09 14.23,12:40:53
Apr  6,4:27,5:07,5:39,12:15,18:51,19:24  20:04,13.2,1.09 14.29,12:44:49
Apr  7,4:25,5:05,5:37,12:15,18:53,19:26  20:05,13.26,1.09 14.35,12:48:46
Apr  8,4:23,5:02,5:35,12:14,18:54,19:27  20:07,13.32,1.09 14.41,12:52:42
Apr  9,4:20,5:00,5:33,12:14,18:56,19:29  20:09,13.38,1.10 14.48,12:56:39
Apr 10,4:18,4:58,5:31,12:14,18:57,19:31  20:11,13.44,1.10 14.54,13:00:35
Apr 11,4:16,4:56,5:29,12:14,18:59,19:32  20:13,13.5,1.10 14.60,13:04:32
Apr 12,4:13,4:54,5:27,12:13,19:00,19:34  20:15,13.56,1.11 14.67,13:08:29
Apr 13,4:11,4:52,5:25,12:13,19:02,19:35  20:16,13.62,1.11 14.73,13:12:25
Apr 14,4:09,4:50,5:23,12:13,19:04,19:37  20:18,13.68,1.11 14.79,13:16:22
Apr 15,4:06,4:48,5:21,12:13,19:05,19:39  20:20,13.73,1.12 14.85,13:20:18
Apr 16,4:04,4:45,5:19,12:12,19:07,19:40  20:22,13.79,1.12 14.92,13:24:15
Apr 17,4:02,4:43,5:17,12:12,19:08,19:42  20:24,13.85,1.13 14.98,13:28:11
Apr 18,3:59,4:41,5:15,12:12,19:10,19:44  20:26,13.91,1.13 15.04,13:32:08
Apr 19,3:57,4:39,5:13,12:12,19:11,19:45  20:28,13.97,1.14 15.10,13:36:04
Apr 20,3:55,4:37,5:11,12:11,19:13,19:47  20:30,14.02,1.14 15.16,13:40:01
Apr 21,3:52,4:35,5:09,12:11,19:14,19:49  20:31,14.08,1.14 15.23,13:43:58
Apr 22,3:50,4:33,5:07,12:11,19:16,19:50  20:33,14.14,1.15 15.29,13:47:54
Apr 23,3:48,4:31,5:05,12:11,19:17,19:52  20:35,14.19,1.15 15.35,13:51:51
Apr 24,3:46,4:29,5:04,12:11,19:19,19:54  20:37,14.25,1.16 15.41,13:55:47
Apr 25,3:43,4:27,5:02,12:10,19:20,19:55  20:39,14.31,1.16 15.47,13:59:44
Apr 26,3:41,4:25,5:00,12:10,19:22,19:57  20:41,14.36,1.17 15.53,14:03:40
Apr 27,3:39,4:23,4:58,12:10,19:23,19:59  20:43,14.42,1.17 15.59,14:07:37
Apr 28,3:36,4:21,4:56,12:10,19:25,20:00  20:45,14.47,1.18 15.65,14:11:33
Apr 29,3:34,4:19,4:55,12:10,19:26,20:02  20:47,14.53,1.19 15.71,14:15:30
Apr 30,3:32,4:17,4:53,12:10,19:28,20:03  20:49,14.58,1.19 15.77,14:19:27
May  1,3:30,4:15,4:51,12:10,19:29,20:05  20:51,14.63,1.20 15.83,14:23:23
May  2,3:28,4:13,4:49,12:09,19:31,20:07  20:53,14.69,1.20 15.89,14:27:20
May  3,3:25,4:12,4:48,12:09,19:32,20:08  20:55,14.74,1.21 15.95,14:31:16
May  4,3:23,4:10,4:46,12:09,19:34,20:10  20:57,14.79,1.21 16.01,14:35:13
May  5,3:21,4:08,4:44,12:09,19:35,20:12  20:59,14.84,1.22 16.06,14:39:09
May  6,3:19,4:06,4:43,12:09,19:36,20:13  21:01,14.9,1.23 16.12,14:43:06
May  7,3:17,4:04,4:41,12:09,19:38,20:15  21:03,14.95,1.23 16.18,14:47:02
May  8,3:15,4:03,4:40,12:09,19:39,20:17  21:05,15.0,1.24 16.24,14:50:59
May  9,3:12,4:01,4:38,12:09,19:41,20:18  21:07,15.05,1.24 16.29,14:54:56
May 10,3:10,3:59,4:37,12:09,19:42,20:20  21:09,15.1,1.25 16.35,14:58:52
May 11,3:08,3:57,4:35,12:09,19:44,20:21  21:11,15.14,1.26 16.40,15:02:49
May 12,3:06,3:56,4:34,12:09,19:45,20:23  21:13,15.19,1.26 16.45,15:06:45
May 13,3:04,3:54,4:32,12:09,19:46,20:25  21:15,15.24,1.27 16.51,15:10:42
May 14,3:02,3:53,4:31,12:09,19:48,20:26  21:17,15.28,1.28 16.56,15:14:38
May 15,3:00,3:51,4:29,12:09,19:49,20:28  21:19,15.33,1.28 16.61,15:18:35
May 16,2:58,3:50,4:28,12:09,19:51,20:29  21:21,15.37,1.29 16.66,15:22:31
May 17,2:57,3:48,4:27,12:09,19:52,20:31  21:23,15.42,1.30 16.71,15:26:28
May 18,2:55,3:47,4:26,12:09,19:53,20:32  21:25,15.46,1.30 16.76,15:30:25
May 19,2:53,3:45,4:24,12:09,19:54,20:34  21:27,15.5,1.31 16.81,15:34:21
May 20,2:51,3:44,4:23,12:09,19:56,20:35  21:29,15.54,1.32 16.86,15:38:18
May 21,2:49,3:42,4:22,12:09,19:57,20:37  21:30,15.58,1.32 16.91,15:42:14
May 22,2:48,3:41,4:21,12:09,19:58,20:38  21:32,15.62,1.33 16.95,15:46:11
May 23,2:46,3:40,4:20,12:09,20:00,20:40  21:34,15.66,1.33 17.00,15:50:07
May 24,2:44,3:39,4:19,12:09,20:01,20:41  21:36,15.7,1.34 17.04,15:54:04
May 25,2:43,3:37,4:18,12:09,20:02,20:42  21:38,15.74,1.35 17.08,15:58:00
May 26,2:41,3:36,4:17,12:10,20:03,20:44  21:39,15.77,1.35 17.12,16:01:57
May 27,2:39,3:35,4:16,12:10,20:04,20:45  21:41,15.81,1.36 17.16,16:05:54
May 28,2:38,3:34,4:15,12:10,20:05,20:46  21:43,15.84,1.36 17.20,16:09:50
May 29,2:37,3:33,4:14,12:10,20:06,20:48  21:45,15.87,1.37 17.24,16:13:47
May 30,2:35,3:32,4:13,12:10,20:07,20:49  21:46,15.9,1.38 17.28,16:17:43
May 31,2:34,3:31,4:13,12:10,20:08,20:50  21:48,15.93,1.38 17.31,16:21:40
Jun  1,2:33,3:30,4:12,12:10,20:09,20:51  21:49,15.96,1.39 17.35,16:25:36
Jun  2,2:31,3:30,4:11,12:11,20:10,20:52  21:51,15.99,1.39 17.38,16:29:33
Jun  3,2:30,3:29,4:11,12:11,20:11,20:53  21:52,16.01,1.40 17.41,16:33:29
Jun  4,2:29,3:28,4:10,12:11,20:12,20:54  21:54,16.04,1.40 17.44,16:37:26
Jun  5,2:28,3:27,4:09,12:11,20:13,20:55  21:55,16.06,1.41 17.47,16:41:23
Jun  6,2:27,3:27,4:09,12:11,20:14,20:56  21:56,16.08,1.41 17.49,16:45:19
Jun  7,2:26,3:26,4:08,12:11,20:15,20:57  21:57,16.1,1.41 17.52,16:49:16
Jun  8,2:25,3:26,4:08,12:12,20:15,20:58  21:59,16.12,1.42 17.54,16:53:12
Jun  9,2:25,3:25,4:08,12:12,20:16,20:59  22:00,16.14,1.42 17.56,16:57:09
Jun 10,2:24,3:25,4:07,12:12,20:17,21:00  22:01,16.16,1.42 17.58,17:01:05
Jun 11,2:23,3:24,4:07,12:12,20:18,21:00  22:02,16.17,1.43 17.60,17:05:02
Jun 12,2:23,3:24,4:07,12:12,20:18,21:01  22:03,16.19,1.43 17.62,17:08:58
Jun 13,2:22,3:24,4:07,12:13,20:19,21:02  22:03,16.2,1.43 17.63,17:12:55
Jun 14,2:22,3:24,4:07,12:13,20:19,21:02  22:04,16.21,1.44 17.65,17:16:52
Jun 15,2:22,3:23,4:07,12:13,20:20,21:03  22:05,16.22,1.44 17.66,17:20:48
Jun 16,2:21,3:23,4:06,12:13,20:20,21:03  22:05,16.23,1.44 17.67,17:24:45
Jun 17,2:21,3:23,4:06,12:13,20:21,21:04  22:06,16.23,1.44 17.67,17:28:41
Jun 18,2:21,3:23,4:07,12:14,20:21,21:04  22:06,16.24,1.44 17.68,17:32:38
Jun 19,2:21,3:23,4:07,12:14,20:21,21:04  22:07,16.24,1.44 17.68,17:36:34
Jun 20,2:21,3:24,4:07,12:14,20:21,21:05  22:07,16.24,1.44 17.69,17:40:31
Jun 21,2:21,3:24,4:07,12:14,20:22,21:05  22:07,16.25,1.44 17.69,17:44:27
Jun 22,2:22,3:24,4:07,12:15,20:22,21:05  22:07,16.24,1.44 17.69,17:48:24
Jun 23,2:22,3:24,4:07,12:15,20:22,21:05  22:07,16.24,1.44 17.68,17:52:21
Jun 24,2:22,3:25,4:08,12:15,20:22,21:05  22:07,16.24,1.44 17.68,17:56:17
Jun 25,2:23,3:25,4:08,12:15,20:22,21:05  22:07,16.23,1.44 17.67,18:00:14
Jun 26,2:23,3:25,4:09,12:15,20:22,21:05  22:07,16.23,1.44 17.66,18:04:10
Jun 27,2:24,3:26,4:09,12:16,20:22,21:05  22:07,16.22,1.44 17.65,18:08:07
Jun 28,2:25,3:26,4:10,12:16,20:22,21:05  22:07,16.21,1.43 17.64,18:12:03
Jun 29,2:25,3:27,4:10,12:16,20:22,21:05  22:06,16.2,1.43 17.63,18:16:00
Jun 30,2:26,3:28,4:11,12:16,20:22,21:04  22:06,16.18,1.43 17.61,18:19:56
