Date,Nautical,Civil,Rise,Noon,Set,Civil Nautical,Day,Sky Total,hh:mm:ss
Jul  1,2:27,3:28,4:11,12:16,20:21,21:04  22:05,16.17,1.43 17.59,18:23:53
Jul  2,2:28,3:29,4:12,12:17,20:21,21:04  22:04,16.15,1.42 17.58,18:27:50
Jul  3,2:29,3:30,4:13,12:17,20:21,21:03  22:04,16.14,1.42 17.56,18:31:46
Jul  4,2:30,3:31,4:13,12:17,20:20,21:03  22:03,16.12,1.42 17.53,18:35:43
Jul  5,2:31,3:32,4:14,12:17,20:20,21:02  22:02,16.1,1.41 17.51,18:39:39
Jul  6,2:33,3:32,4:15,12:17,20:19,21:02  22:01,16.08,1.41 17.48,18:43:36
Jul  7,2:34,3:33,4:16,12:17,20:19,21:01  22:00,16.05,1.40 17.46,18:47:32
Jul  8,2:35,3:34,4:16,12:18,20:18,21:00  21:59,16.03,1.40 17.43,18:51:29
Jul  9,2:37,3:35,4:17,12:18,20:18,20:59  21:58,16.0,1.39 17.40,18:55:25
Jul 10,2:38,3:37,4:18,12:18,20:17,20:59  21:57,15.98,1.39 17.37,18:59:22
Jul 11,2:40,3:38,4:19,12:18,20:16,20:58  21:55,15.95,1.38 17.34,19:03:19
Jul 12,2:41,3:39,4:20,12:18,20:16,20:57  21:54,15.92,1.38 17.30,19:07:15
Jul 13,2:43,3:40,4:21,12:18,20:15,20:56  21:53,15.89,1.37 17.27,19:11:12
Jul 14,2:44,3:41,4:22,12:18,20:14,20:55  21:51,15.86,1.37 17.23,19:15:08
Jul 15,2:46,3:42,4:23,12:18,20:13,20:54  21:50,15.83,1.36 17.19,19:19:05
Jul 16,2:48,3:44,4:24,12:19,20:12,20:53  21:48,15.8,1.36 17.15,19:23:01
Jul 17,2:49,3:45,4:26,12:19,20:11,20:52  21:47,15.76,1.35 17.11,19:26:58
Jul 18,2:51,3:46,4:27,12:19,20:10,20:50  21:45,15.73,1.34 17.07,19:30:54
Jul 19,2:53,3:48,4:28,12:19,20:09,20:49  21:44,15.69,1.34 17.03,19:34:51
Jul 20,2:55,3:49,4:29,12:19,20:08,20:48  21:42,15.65,1.33 16.98,19:38:48
Jul 21,2:56,3:50,4:30,12:19,20:07,20:47  21:40,15.61,1.33 16.94,19:42:44
Jul 22,2:58,3:52,4:31,12:19,20:06,20:45  21:38,15.57,1.32 16.89,19:46:41
Jul 23,3:00,3:53,4:33,12:19,20:05,20:44  21:37,15.53,1.31 16.85,19:50:37
Jul 24,3:02,3:55,4:34,12:19,20:03,20:43  21:35,15.49,1.31 16.80,19:54:34
Jul 25,3:04,3:56,4:35,12:19,20:02,20:41  21:33,15.45,1.30 16.75,19:58:30
Jul 26,3:06,3:57,4:36,12:19,20:01,20:40  21:31,15.41,1.29 16.70,20:02:27
Jul 27,3:07,3:59,4:38,12:19,20:00,20:38  21:29,15.36,1.29 16.65,20:06:23
Jul 28,3:09,4:00,4:39,12:19,19:58,20:37  21:27,15.32,1.28 16.60,20:10:20
Jul 29,3:11,4:02,4:40,12:19,19:57,20:35  21:25,15.27,1.28 16.55,20:14:17
Jul 30,3:13,4:03,4:42,12:19,19:55,20:33  21:23,15.23,1.27 16.50,20:18:13
Jul 31,3:15,4:05,4:43,12:19,19:54,20:32  21:21,15.18,1.26 16.44,20:22:10
Aug  1,3:17,4:07,4:44,12:19,19:52,20:30  21:19,15.14,1.26 16.39,20:26:06
Aug  2,3:19,4:08,4:46,12:19,19:51,20:28  21:17,15.09,1.25 16.34,20:30:03
Aug  3,3:21,4:10,4:47,12:19,19:49,20:27  21:15,15.04,1.24 16.28,20:33:59
Aug  4,3:23,4:11,4:48,12:19,19:48,20:25  21:13,14.99,1.24 16.23,20:37:56
Aug  5,3:25,4:13,4:50,12:19,19:46,20:23  21:11,14.94,1.23 16.17,20:41:52
Aug  6,3:27,4:14,4:51,12:18,19:45,20:21  21:08,14.89,1.23 16.12,20:45:49
Aug  7,3:29,4:16,4:53,12:18,19:43,20:19  21:06,14.84,1.22 16.06,20:49:46
Aug  8,3:31,4:18,4:54,12:18,19:41,20:18  21:04,14.79,1.21 16.00,20:53:42
Aug  9,3:33,4:19,4:55,12:18,19:40,20:16  21:02,14.74,1.21 15.94,20:57:39
Aug 10,3:35,4:21,4:57,12:18,19:38,20:14  21:00,14.68,1.20 15.89,21:01:35
Aug 11,3:36,4:22,4:58,12:18,19:36,20:12  20:57,14.63,1.20 15.83,21:05:32
Aug 12,3:38,4:24,5:00,12:18,19:34,20:10  20:55,14.58,1.19 15.77,21:09:28
Aug 13,3:40,4:25,5:01,12:17,19:33,20:08  20:53,14.53,1.19 15.71,21:13:25
Aug 14,3:42,4:27,5:03,12:17,19:31,20:06  20:51,14.47,1.18 15.65,21:17:21
Aug 15,3:44,4:29,5:04,12:17,19:29,20:04  20:48,14.42,1.17 15.59,21:21:18
Aug 16,3:46,4:30,5:05,12:17,19:27,20:02  20:46,14.36,1.17 15.53,21:25:15
Aug 17,3:48,4:32,5:07,12:17,19:25,20:00  20:44,14.31,1.16 15.47,21:29:11
Aug 18,3:50,4:33,5:08,12:16,19:23,19:58  20:41,14.25,1.16 15.41,21:33:08
Aug 19,3:52,4:35,5:10,12:16,19:22,19:56  20:39,14.2,1.15 15.35,21:37:04
Aug 20,3:53,4:37,5:11,12:16,19:20,19:54  20:37,14.14,1.15 15.29,21:41:01
Aug 21,3:55,4:38,5:13,12:16,19:18,19:52  20:35,14.08,1.15 15.23,21:44:57
Aug 22,3:57,4:40,5:14,12:15,19:16,19:50  20:32,14.03,1.14 15.17,21:48:54
Aug 23,3:59,4:41,5:15,12:15,19:14,19:48  20:30,13.97,1.14 15.11,21:52:50
Aug 24,4:01,4:43,5:17,12:15,19:12,19:46  20:28,13.91,1.13 15.05,21:56:47
Aug 25,4:03,4:44,5:18,12:15,19:10,19:44  20:25,13.86,1.13 14.99,22:00:44
Aug 26,4:04,4:46,5:20,12:14,19:08,19:41  20:23,13.8,1.12 14.92,22:04:40
Aug 27,4:06,4:48,5:21,12:14,19:06,19:39  20:20,13.74,1.12 14.86,22:08:37
Aug 28,4:08,4:49,5:23,12:14,19:04,19:37  20:18,13.68,1.12 14.80,22:12:33
Aug 29,4:10,4:51,5:24,12:13,19:02,19:35  20:16,13.63,1.11 14.74,22:16:30
Aug 30,4:11,4:52,5:26,12:13,19:00,19:33  20:13,13.57,1.11 14.68,22:20:26
Aug 31,4:13,4:54,5:27,12:13,18:58,19:31  20:11,13.51,1.10 14.62,22:24:23
Sep  1,4:15,4:55,5:28,12:12,18:56,19:29  20:09,13.45,1.10 14.55,22:28:19
Sep  2,4:17,4:57,5:30,12:12,18:53,19:26  20:06,13.39,1.10 14.49,22:32:16
Sep  3,4:18,4:58,5:31,12:12,18:51,19:24  20:04,13.33,1.09 14.43,22:36:13
Sep  4,4:20,5:00,5:33,12:12,18:49,19:22  20:02,13.28,1.09 14.37,22:40:09
Sep  5,4:22,5:01,5:34,12:11,18:47,19:20  19:59,13.22,1.09 14.31,22:44:06
Sep  6,4:24,5:03,5:36,12:11,18:45,19:18  19:57,13.16,1.09 14.24,22:48:02
Sep  7,4:25,5:05,5:37,12:11,18:43,19:15  19:55,13.1,1.08 14.18,22:51:59
Sep  8,4:27,5:06,5:39,12:10,18:41,19:13  19:52,13.04,1.08 14.12,22:55:55
Sep  9,4:29,5:08,5:40,12:10,18:39,19:11  19:50,12.98,1.08 14.06,22:59:52
Sep 10,4:30,5:09,5:41,12:09,18:37,19:09  19:47,12.92,1.08 14.00,23:03:48
Sep 11,4:32,5:11,5:43,12:09,18:34,19:07  19:45,12.86,1.07 13.93,23:07:45
Sep 12,4:33,5:12,5:44,12:09,18:32,19:04  19:43,12.8,1.07 13.87,23:11:42
Sep 13,4:35,5:14,5:46,12:08,18:30,19:02  19:40,12.74,1.07 13.81,23:15:38
Sep 14,4:37,5:15,5:47,12:08,18:28,19:00  19:38,12.68,1.07 13.75,23:19:35
Sep 15,4:38,5:17,5:49,12:08,18:26,18:58  19:36,12.62,1.07 13.69,23:23:31
Sep 16,4:40,5:18,5:50,12:07,18:24,18:56  19:34,12.56,1.06 13.63,23:27:28
Sep 17,4:42,5:20,5:52,12:07,18:22,18:53  19:31,12.5,1.06 13.56,23:31:24
Sep 18,4:43,5:21,5:53,12:07,18:19,18:51  19:29,12.44,1.06 13.50,23:35:21
Sep 19,4:45,5:23,5:54,12:06,18:17,18:49  19:27,12.38,1.06 13.44,23:39:17
Sep 20,4:46,5:24,5:56,12:06,18:15,18:47  19:24,12.32,1.06 13.38,23:43:14
Sep 21,4:48,5:26,5:57,12:06,18:13,18:45  19:22,12.26,1.06 13.32,23:47:11
Sep 22,4:49,5:27,5:59,12:05,18:11,18:42  19:20,12.2,1.06 13.26,23:51:07
Sep 23,4:51,5:28,6:00,12:05,18:09,18:40  19:18,12.14,1.06 13.20,23:55:04
Sep 24,4:53,5:30,6:02,12:05,18:06,18:38  19:15,12.08,1.06 13.14,23:59:00
Sep 25,4:54,5:31,6:03,12:04,18:04,18:36  19:13,12.02,1.06 13.07,0:02:57
Sep 26,4:56,5:33,6:05,12:04,18:02,18:34  19:11,11.96,1.06 13.01,0:06:53
Sep 27,4:57,5:34,6:06,12:03,18:00,18:32  19:09,11.9,1.05 12.95,0:10:50
Sep 28,4:59,5:36,6:08,12:03,17:58,18:29  19:06,11.84,1.05 12.89,0:14:46
Sep 29,5:00,5:37,6:09,12:03,17:56,18:27  19:04,11.78,1.05 12.83,0:18:43
Sep 30,5:02,5:39,6:11,12:02,17:54,18:25  19:02,11.72,1.05 12.77,0:22:40
Oct  1,5:03,5:40,6:12,12:02,17:51,18:23  19:00,11.66,1.05 12.71,0:26:36
Oct  2,5:05,5:42,6:13,12:02,17:49,18:21  18:58,11.6,1.06 12.65,0:30:33
Oct  3,5:06,5:43,6:15,12:02,17:47,18:19  18:56,11.54,1.06 12.59,0:34:29
Oct  4,5:08,5:45,6:16,12:01,17:45,18:17  18:54,11.48,1.06 12.53,0:38:26
Oct  5,5:09,5:46,6:18,12:01,17:43,18:15  18:51,11.42,1.06 12.47,0:42:22
Oct  6,5:11,5:48,6:19,12:01,17:41,18:13  18:49,11.36,1.06 12.41,0:46:19
Oct  7,5:12,5:49,6:21,12:00,17:39,18:11  18:47,11.3,1.06 12.36,0:50:15
Oct  8,5:14,5:51,6:23,12:00,17:37,18:09  18:45,11.24,1.06 12.30,0:54:12
Oct  9,5:15,5:52,6:24,12:00,17:35,18:06  18:43,11.18,1.06 12.24,0:58:09
Oct 10,5:17,5:54,6:26,12:00,17:33,18:04  18:41,11.12,1.06 12.18,1:02:05
Oct 11,5:18,5:55,6:27,11:59,17:31,18:02  18:39,11.06,1.06 12.12,1:06:02
Oct 12,5:20,5:57,6:29,11:59,17:29,18:00  18:37,11.0,1.06 12.06,1:09:58
Oct 13,5:21,5:58,6:30,11:59,17:27,17:59  18:35,10.94,1.07 12.01,1:13:55
Oct 14,5:23,6:00,6:32,11:59,17:25,17:57  18:33,10.88,1.07 11.95,1:17:51
Oct 15,5:24,6:01,6:33,11:58,17:23,17:55  18:31,10.82,1.07 11.89,1:21:48
Oct 16,5:26,6:03,6:35,11:58,17:21,17:53  18:29,10.76,1.07 11.83,1:25:44
Oct 17,5:27,6:04,6:36,11:58,17:19,17:51  18:28,10.7,1.07 11.78,1:29:41
Oct 18,5:29,6:06,6:38,11:58,17:17,17:49  18:26,10.65,1.07 11.72,1:33:38
Oct 19,5:30,6:07,6:39,11:58,17:15,17:47  18:24,10.59,1.08 11.66,1:37:34
Oct 20,5:32,6:09,6:41,11:57,17:13,17:45  18:22,10.53,1.08 11.61,1:41:31
Oct 21,5:33,6:10,6:43,11:57,17:11,17:43  18:20,10.47,1.08 11.55,1:45:27
Oct 22,5:35,6:12,6:44,11:57,17:09,17:42  18:19,10.41,1.08 11.50,1:49:24
Oct 23,5:36,6:13,6:46,11:57,17:07,17:40  18:17,10.36,1.09 11.44,1:53:20
Oct 24,5:38,6:15,6:47,11:57,17:05,17:38  18:15,10.3,1.09 11.39,1:57:17
Oct 25,5:39,6:16,6:49,11:57,17:04,17:36  18:13,10.24,1.09 11.33,2:01:13
Oct 26,5:41,6:18,6:51,11:57,17:02,17:34  18:12,10.18,1.09 11.28,2:05:10
Oct 27,5:42,6:19,6:52,11:56,17:00,17:33  18:10,10.13,1.10 11.23,2:09:07
Oct 28,5:43,6:21,6:54,11:56,16:58,17:31  18:08,10.07,1.10 11.17,2:13:03
Oct 29,5:45,6:22,6:55,11:56,16:56,17:29  18:07,10.02,1.10 11.12,2:17:00
Oct 30,5:46,6:24,6:57,11:56,16:55,17:28  18:05,9.96,1.11 11.07,2:20:56
Oct 31,5:48,6:25,6:59,11:56,16:53,17:26  18:04,9.91,1.11 11.01,2:24:53
Nov  1,5:49,6:27,7:00,11:56,16:51,17:25  18:02,9.85,1.11 10.96,2:28:49
Nov  2,5:51,6:28,7:02,11:56,16:50,17:23  18:01,9.8,1.12 10.91,2:32:46
Nov  3,5:52,6:30,7:04,11:56,16:48,17:22  17:59,9.74,1.12 10.86,2:36:42
Nov  4,5:54,6:31,7:05,11:56,16:46,17:20  17:58,9.69,1.12 10.81,2:40:39
Nov  5,5:55,6:33,7:07,11:56,16:45,17:19  17:57,9.64,1.13 10.76,2:44:36
Nov  6,5:56,6:34,7:08,11:56,16:43,17:17  17:55,9.58,1.13 10.71,2:48:32
Nov  7,5:58,6:36,7:10,11:56,16:42,17:16  17:54,9.53,1.13 10.66,2:52:29
Nov  8,5:59,6:37,7:12,11:56,16:40,17:14  17:53,9.48,1.14 10.62,2:56:25
Nov  9,6:01,6:39,7:13,11:56,16:39,17:13  17:51,9.43,1.14 10.57,3:00:22
Nov 10,6:02,6:41,7:15,11:56,16:38,17:12  17:50,9.38,1.14 10.52,3:04:18
Nov 11,6:04,6:42,7:16,11:57,16:36,17:11  17:49,9.33,1.15 10.48,3:08:15
Nov 12,6:05,6:43,7:18,11:57,16:35,17:09  17:48,9.28,1.15 10.43,3:12:11
Nov 13,6:06,6:45,7:20,11:57,16:34,17:08  17:47,9.23,1.15 10.39,3:16:08
Nov 14,6:08,6:46,7:21,11:57,16:32,17:07  17:46,9.18,1.16 10.34,3:20:05
Nov 15,6:09,6:48,7:23,11:57,16:31,17:06  17:45,9.14,1.16 10.30,3:24:01
Nov 16,6:11,6:49,7:24,11:57,16:30,17:05  17:44,9.09,1.17 10.26,3:27:58
Nov 17,6:12,6:51,7:26,11:58,16:29,17:04  17:43,9.05,1.17 10.22,3:31:54
Nov 18,6:13,6:52,7:27,11:58,16:27,17:03  17:42,9.0,1.17 10.17,3:35:51
Nov 19,6:15,6:54,7:29,11:58,16:26,17:02  17:41,8.96,1.18 10.13,3:39:47
Nov 20,6:16,6:55,7:31,11:58,16:25,17:01  17:40,8.91,1.18 10.10,3:43:44
Nov 21,6:17,6:56,7:32,11:58,16:24,17:00  17:39,8.87,1.19 10.06,3:47:40
Nov 22,6:19,6:58,7:34,11:59,16:23,16:59  17:38,8.83,1.19 10.02,3:51:37
Nov 23,6:20,6:59,7:35,11:59,16:22,16:58  17:38,8.79,1.19  9.98,3:55:34
Nov 24,6:21,7:01,7:36,11:59,16:22,16:57  17:37,8.75,1.20  9.95,3:59:30
Nov 25,6:22,7:02,7:38,12:00,16:21,16:57  17:36,8.71,1.20  9.91,4:03:27
Nov 26,6:24,7:03,7:39,12:00,16:20,16:56  17:36,8.68,1.20  9.88,4:07:23
Nov 27,6:25,7:05,7:41,12:00,16:19,16:55  17:35,8.64,1.21  9.85,4:11:20
Nov 28,6:26,7:06,7:42,12:01,16:19,16:55  17:35,8.61,1.21  9.82,4:15:16
Nov 29,6:27,7:07,7:43,12:01,16:18,16:54  17:34,8.57,1.21  9.79,4:19:13
Nov 30,6:28,7:08,7:45,12:01,16:17,16:54  17:34,8.54,1.22  9.76,4:23:09
Dec  1,6:29,7:10,7:46,12:02,16:17,16:53  17:33,8.51,1.22  9.73,4:27:06
Dec  2,6:31,7:11,7:47,12:02,16:16,16:53  17:33,8.48,1.22  9.70,4:31:03
Dec  3,6:32,7:12,7:49,12:02,16:16,16:53  17:33,8.45,1.23  9.68,4:34:59
Dec  4,6:33,7:13,7:50,12:03,16:15,16:52  17:32,8.42,1.23  9.65,4:38:56
Dec  5,6:34,7:14,7:51,12:03,16:15,16:52  17:32,8.4,1.23  9.63,4:42:52
Dec  6,6:35,7:15,7:52,12:04,16:15,16:52  17:32,8.37,1.23  9.61,4:46:49
Dec  7,6:36,7:16,7:53,12:04,16:14,16:52  17:32,8.35,1.24  9.59,4:50:45
Dec  8,6:37,7:17,7:54,12:04,16:14,16:51  17:32,8.33,1.24  9.57,4:54:42
Dec  9,6:38,7:18,7:56,12:05,16:14,16:51  17:32,8.31,1.24  9.55,4:58:38
Dec 10,6:39,7:19,7:57,12:05,16:14,16:51  17:32,8.29,1.24  9.53,5:02:35
Dec 11,6:40,7:20,7:58,12:06,16:14,16:51  17:32,8.27,1.25  9.52,5:06:32
Dec 12,6:40,7:21,7:58,12:06,16:14,16:51  17:32,8.26,1.25  9.50,5:10:28
Dec 13,6:41,7:22,7:59,12:07,16:14,16:51  17:32,8.24,1.25  9.49,5:14:25
Dec 14,6:42,7:23,8:00,12:07,16:14,16:52  17:32,8.23,1.25  9.48,5:18:21
Dec 15,6:43,7:23,8:01,12:08,16:14,16:52  17:33,8.22,1.25  9.47,5:22:18
Dec 16,6:43,7:24,8:02,12:08,16:14,16:52  17:33,8.21,1.25  9.46,5:26:14
Dec 17,6:44,7:25,8:03,12:09,16:15,16:52  17:33,8.2,1.25  9.46,5:30:11
Dec 18,6:45,7:26,8:03,12:09,16:15,16:53  17:33,8.2,1.25  9.45,5:34:07
Dec 19,6:45,7:26,8:04,12:10,16:15,16:53  17:34,8.19,1.25  9.45,5:38:04
Dec 20,6:46,7:27,8:04,12:10,16:16,16:53  17:34,8.19,1.26  9.44,5:42:01
Dec 21,6:46,7:27,8:05,12:11,16:16,16:54  17:35,8.19,1.26  9.44,5:45:57
Dec 22,6:47,7:28,8:05,12:11,16:17,16:54  17:35,8.19,1.26  9.44,5:49:54
Dec 23,6:47,7:28,8:06,12:12,16:17,16:55  17:36,8.19,1.26  9.44,5:53:50
Dec 24,6:48,7:29,8:06,12:12,16:18,16:56  17:36,8.19,1.25  9.45,5:57:47
Dec 25,6:48,7:29,8:07,12:13,16:19,16:56  17:37,8.2,1.25  9.45,6:01:43
Dec 26,6:49,7:29,8:07,12:13,16:19,16:57  17:38,8.2,1.25  9.46,6:05:40
Dec 27,6:49,7:30,8:07,12:14,16:20,16:58  17:38,8.21,1.25  9.47,6:09:36
Dec 28,6:49,7:30,8:07,12:14,16:21,16:58  17:39,8.22,1.25  9.47,6:13:33
Dec 29,6:49,7:30,8:08,12:15,16:22,16:59  17:40,8.23,1.25  9.48,6:17:30
Dec 30,6:50,7:30,8:08,12:15,16:23,17:00  17:41,8.25,1.25  9.50,6:21:26
Dec 31,6:50,7:30,8:08,12:16,16:23,17:01  17:42,8.26,1.25  9.51,6:25:23
